ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day
18973,436cb02f41a01ae115e1dd8aff511b0b23e9ef91,15.80600,Yes,No,3084,Westbound,Straight,9.587,25.393,NULL,23
18974,436fb63f9d8dff0c192110811e58010d519cc4dd,97.67500,Yes,No,3084,Eastbound,Left,9.587,107.262,NULL,23
18975,438758380737172ce189339846ffe1c78f680569,108.14700,Yes,No,3084,Eastbound,Right,9.587,117.734,NULL,23
18976,43957ce92b6c1ca93a9bfd9138ab2ca18c54e2f6,129.37200,Yes,No,3084,Westbound,Left,9.587,138.959,NULL,23
18977,43a1ce721fd61384842de94bf084e0afc963d859,101.08700,No,No,3084,Eastbound,Straight,9.587,110.674,NULL,23
18978,43b30454b11c836f8c0f7df03aefa9b88c0c10ec,85.44100,Yes,No,3084,Westbound,Straight,9.587,95.028,NULL,23
18979,43b940793e7f28edcaa0eba5d997dc17b07032d1,1.95200,No,No,3084,Westbound,Straight,9.587,11.539,NULL,23
18980,43e5d89e59bb797d27165930814d289eaf73b13d,64.55000,Yes,No,3084,Westbound,Straight,9.587,74.137,NULL,23
18981,44065f5dcefb855ace6a1bc7355fb50415825609,51.20400,Yes,No,3084,Eastbound,Right,9.587,60.791,NULL,23
18982,44247461f9f00a432053c95419553e8477df4104,2.77900,No,No,3084,Westbound,Right,9.587,12.366,NULL,23
18983,442ac68ba4e6406ac9d4a6cb2c693ee1997af28d,2.44400,No,No,3084,Westbound,Straight,9.587,12.031,NULL,23
18984,44597beb2d4b33d57b69fdbb7f3236a7eb321d92,0.00000,No,No,3084,Southbound,Straight,9.587,8.080,NULL,23
18985,445bc38ef80020c078c3f83c73909b4b7dbb8676,59.09000,No,No,3084,Northbound,Left,7.456,66.546,NULL,23
18986,446514718e5bfb7ee6c1aea5d0f002d7da41bc09,91.45100,Yes,No,3084,Westbound,Right,9.587,101.038,NULL,23
18987,4478e2bdbaf9da6e7f66c7ba8c5634c2f190d608,84.65000,Yes,No,3084,Eastbound,Straight,9.587,94.237,NULL,23
18988,4491e7a3ca724f5758e757d6a04b7d5459352894,36.42600,Yes,No,3084,Northbound,Left,7.456,43.882,NULL,23
18989,4496c8060d889aced7962769e83c166eda2f0a2c,89.30400,No,No,3084,Northbound,Left,7.456,96.760,NULL,23
18990,44bbbcdf0976dfa5f291873a202c4ab61597987c,55.94000,Yes,No,3084,Eastbound,Straight,9.587,65.527,NULL,23
18991,44cabe3e0e993d148b93d268959b11ecf36f1e2c,91.48700,Yes,No,3084,Eastbound,Straight,9.587,101.074,NULL,23
18992,44d2c6b33689e5ece54f32d529aa81eb1195e1c5,0.00000,Yes,No,3084,Westbound,Straight,9.587,9.392,NULL,23
18993,44e630732fe9428b4453f16bb0bb4f1f955a9042,41.67500,Yes,No,3084,Southbound,Straight,9.587,51.262,NULL,23
18994,44efff1523ce38c984cf66fad4ff8c65b8d517a3,77.75900,Yes,No,3084,Eastbound,Right,9.587,87.346,NULL,23
18995,44fd0f70c26eddfd1e10f037c4c7609b20703cc4,170.39400,No,No,3084,Southbound,Left,9.587,179.981,NULL,23
18996,45019e21b143f27ff8bb39e4fe2c90606f9be403,0.47300,No,No,3084,Southbound,Straight,9.587,10.060,NULL,23
18997,450e9d5511c99b1bdc82ad65026bad5099fb7aec,97.50600,Yes,No,3084,Westbound,Left,9.587,107.093,NULL,23
18998,451733f8c4567e992a4c31441107403587402200,94.82900,Yes,No,3084,Westbound,Straight,9.587,104.416,NULL,23
18999,452e538c9b5e91246787564f08ff792f2ff7362b,82.61900,Yes,No,3084,Eastbound,Straight,9.587,92.206,NULL,23
19000,4551f9010bfab13bcbc4e0c5fa0d62103bc45fdb,110.25500,Yes,No,3084,Northbound,Straight,7.456,117.711,NULL,23
19001,45568298e93d0d7fecf784089a646720074011ea,66.69200,Yes,No,3084,Northbound,Straight,7.456,74.148,NULL,23
19002,4565235d54dc9390ff4463441a9b819fe905eb86,160.75800,Yes,No,3084,Eastbound,Left,9.587,170.345,NULL,23
19003,456cc4a17ca4aceaf984f1b0d777689ae06105e7,106.47600,Yes,No,3084,Eastbound,Straight,9.587,116.063,NULL,23
19004,4572a4ae204cd1f9a3b49a98fd021752a45e8998,91.74500,NULL,NULL,3084,Southbound,Straight,9.587,101.332,NULL,23
19005,457e9caaba8a5b8802d6cb491669bddc518c0fbd,51.09200,Yes,No,3084,Northbound,Straight,7.456,58.548,NULL,23
19006,45b8c560a3e196434714e02865ef8b3339999bf6,9.40300,Yes,No,3084,Northbound,Straight,7.456,16.859,NULL,23
19007,461e43568812a45622d236f59bde74bbf4d7dd67,96.15900,Yes,No,3084,Southbound,Straight,9.587,105.746,NULL,23
19008,462564c0992634ff0cfb609a7a6630e738d26d56,68.90200,Yes,No,3084,Westbound,Straight,9.587,78.489,NULL,23
19009,4637b34b8107271a3d3083101c10113977b4dd9b,30.80800,Yes,No,3084,Eastbound,Right,9.587,40.395,NULL,23
